335 -15,1
335,006 -21,31102
335,012 -27,86038
335,018 -33,90772
335,024 -38,63296
335,03 -41,48746
335,036 -42,36866
335,0421 -41,64029
335,048 -39,98147
335,054 -38,11985
335,0601 -36,5566
335,0661 -35,39882
335,0721 -34,37099
335,0781 -32,99636
335,0841 -30,86007
335,0901 -27,82923
335,0961 -24,13073
335,1021 -20,26319
335,1081 -16,80243
335,1141 -14,20407
335,1201 -12,68538
335,1261 -12,20157
335,1321 -12,47526
335,1382 -13,03845
335,1441 -13,29435
335,1501 -12,63839
335,1562 -10,64346
335,1622 -7,236624
335,1682 -2,753195
335,1742 2,190992
335,1802 6,950359
335,1862 11,0805
335,1922 14,42985
335,1982 17,08155
335,2042 19,23389
335,2102 21,12016
335,2162 22,99888
335,2222 25,16818
335,2282 27,93896
335,2342 31,54606
335,2402 36,03868
335,2462 41,21817
335,2523 46,66661
335,2583 51,85635
335,2643 56,29076
335,2703 59,62577
335,2763 61,74877
335,2823 62,81219
335,2883 63,21768
335,2943 63,53996
335,3003 64,3929
335,3063 66,26993
335,3123 69,41064
335,3183 73,73911
335,3243 78,8962
335,3303 84,36185
335,3363 89,63338
335,3423 94,3941
335,3484 98,59403
335,3543 102,4001
335,3604 106,049
335,3664 109,6997
335,3724 113,3776
335,3784 117,0262
335,3844 120,6017
335,3904 124,1223
335,3964 127,6383
335,4024 131,166
335,4084 134,6542
335,4144 138,0117
335,4204 141,1675
335,4264 144,1077
335,4324 146,8637
335,4384 149,4863
335,4445 152,0525
335,4504 154,72
335,4565 157,7694
335,4625 161,551
335,4685 166,3143
335,4745 172,0067
335,4805 178,198
335,4865 184,2249
335,4925 189,5023
335,4985 193,8163
335,5045 197,4164
335,5105 200,851
335,5165 204,6578
335,5225 209,0977
335,5285 214,08
335,5345 219,2992
335,5405 224,4797
335,5465 229,5712
335,5526 234,7786
335,5586 240,4239
335,5646 246,7428
335,5706 253,7504
335,5766 261,2419
335,5826 268,8936
335,5886 276,3808
335,5946 283,4542
335,6006 289,9681
335,6066 295,8722
335,6126 301,1784
335,6186 305,9108
335,6246 310,0702
335,6306 313,6476
335,6366 316,6927
335,6426 319,3911
335,6487 322,091
335,6547 325,2471
335,6607 329,3002
335,6667 334,5453
335,6727 341,0424
335,6787 348,611
335,6847 356,9079
335,6907 365,5461
335,6967 374,1902
335,7027 382,5912
335,7087 390,5752
335,7147 398,0337
335,7207 404,9386
335,7267 411,3643
335,7327 417,4828
335,7387 423,5189
335,7448 429,6822
335,7508 436,0999
335,7567 442,7775
335,7628 449,6089
335,7688 456,4546
335,7748 463,2673
335,7808 470,2005
335,7868 477,6106
335,7928 485,913
335,7988 495,3467
335,8048 505,7765
335,8108 516,6635
335,8168 527,2469
335,8228 536,858
335,8288 545,2042
335,8348 552,4718
335,8409 559,1976
335,8468 565,9883
335,8528 573,25
335,8589 581,0663
335,8649 589,2629
335,8709 597,5857
335,8769 605,8751
335,8829 614,1533
335,8889 622,6121
335,8949 631,5336
335,9009 641,1857
335,9069 651,7153
335,9129 663,0624
335,9189 674,9326
335,9249 686,8566
335,9309 698,3353
335,937 709,0172
335,9429 718,8344
335,9489 728,0376
335,955 737,1071
335,961 746,5701
335,967 756,7993
335,973 767,8892
335,979 779,673
335,985 791,8626
335,991 804,2147
335,997 816,6133
336,003 829,0256
336,009 841,3854
336,015 853,516
336,021 865,1774
336,027 876,2303
336,033 886,8062
336,039 897,3508
336,045 908,4781
336,0511 920,712
336,0571 934,2698
336,063 949,007
336,0691 964,5155
336,0751 980,2734
336,0811 995,7579
336,0871 1010,52
336,0931 1024,279
336,0991 1037,05
336,1051 1049,235
336,1111 1061,558
336,1171 1074,816
336,1231 1089,541
