336 3,118324
336,97 1555,448
336,973 1579,856
336,976 1597,975
336,979 1635,986
336,982 1660,957
336,985 1684,985
336,988 1710,415
336,991 1752,202
336,994 1775,577
336,997 1799,314
337 1827,233
337,003 1858,391
337,006 1882,158
337,009 1928,115
337,012 1959,778
337,015 1991,227
337,018 2025,536
337,021 2072,013
337,024 2111,819
337,027 2152,701
337,03 2183,064
337,033 2219,259
337,036 2257,081
337,039 2298,958
337,0421 2342,626
337,045 2387,914
337,048 2443,259
337,0511 2492,007
337,054 2528,439
337,0571 2580,512
337,0601 2621,9
337,063 2664,631
337,0661 2728,172
337,0691 2777,462
337,0721 2846,331
337,0751 2909,954
337,0781 2964,673
337,0811 3009,275
337,0841 3092,624
337,0871 3167,33
337,0901 3216,534
337,0931 3281,052
337,0961 3348,089
337,0991 3409,368
337,1021 3502,053
337,1051 3567,208
337,1081 3658,463
337,1111 3701,913
337,1141 3789,136
337,1171 3868,132
337,1201 3956,886
337,1231 4044,667
337,1261 4132,967
337,1291 4213,223
337,1321 4297,651
337,1351 4404,14
337,1382 4510,653
337,1411 4587,135
337,1441 4710,499
337,1472 4817,116
337,1501 4933,543
337,1532 5042,156
337,1562 5150,103
337,1591 5270,956
337,1622 5394,406
337,1652 5532,079
337,1682 5668,162
337,1712 5803,116
337,1742 5958,675
337,1772 6119,678
337,1802 6225,629
337,1832 6407,116
337,1862 6584,684
337,1892 6753,725
337,1922 6927,215
337,1952 7104,344
337,1982 7298,449
337,2012 7497,912
337,2042 7691,299
337,2072 7888,827
337,2102 8127,417
337,2132 8316,358
337,2162 8557,224
337,2192 8774,958
337,2222 9068,499
337,2252 9308,738
337,2282 9598,28
337,2312 9892,803
337,2342 10110,1
337,2372 10392,32
337,2402 10706,87
337,2433 10996,66
337,2462 11308,53
337,2492 11716,43
337,2523 12009,24
337,2552 12382,72
337,2583 12719,43
337,2613 13147,21
337,2643 13558,68
337,2673 13976,44
337,2703 14437,45
337,2733 14957,62
337,2763 15402,55
337,2793 15842,04
337,2823 16388,7
337,2853 16932,27
337,2883 17510,66
337,2913 18113,55
337,2943 18618,71
337,2973 19365,32
337,3003 20025,36
337,3033 20610,23
337,3063 21285,52
337,3093 22039,34
337,3123 22618,14
337,3153 23524,39
337,3183 24428,85
337,3213 25215,75
337,3243 26129,17
337,3273 27006,04
337,3303 27907,12
337,3333 28854,86
337,3363 30064,59
337,3393 31228,27
337,3423 32289,9
337,3453 33289,57
337,3484 34309,81
337,3513 35628,04
337,3543 36568,09
337,3574 37900,58
337,3604 38932,13
337,3634 40241,96
337,3664 41368,82
337,3694 42241,2
337,3724 43205,71
337,3754 44189,21
337,3784 45089,72
337,3814 45913,41
337,3844 46844,18
337,3874 47858,64
337,3904 48584,14
337,3934 49336,89
337,3964 50093,18
337,3994 50746,9
337,4024 51478,66
337,4054 52032,31
337,4084 52604,26
337,4114 53078,22
337,4144 53533,23
337,4174 54000,91
337,4204 54375,5
337,4234 54596,21
337,4264 54848,69
337,4294 55075,99
337,4324 55033,99
337,4354 55029,97
337,4384 55017,83
337,4414 54740,12
337,4445 54396,49
337,4474 54035,18
337,4504 53571,17
337,4535 53018,28
337,4565 52514,08
337,4595 51859,38
337,4625 50912,11
337,4655 50263,2
337,4685 49288,66
337,4715 48166,18
337,4745 47303,46
337,4775 46076,36
337,4805 44847,77
337,4835 43438,38
337,4865 42338,48
337,4895 40893,3
337,4925 39523,94
337,4955 38128,54
337,4985 36599,87
337,5015 35125,77
337,5045 33530,15
337,5075 31666,04
337,5105 29998,26
337,5135 28100,05
337,5165 26398,85
337,5195 24756,08
337,5225 22807,81
337,5255 20908,43
337,5285 19724,2
337,5315 17931,12
337,5345 15805,54
337,5375 13627,61
337,5405 10808,74
337,5435 8636,006
337,5465 6003,801
337,5496 3405,726
337,5526 1174,873
337,5555 -958,3433
337,5586 -3696,505
337,5616 -5773,061
337,5646 -7599,973
337,5676 -9487,185
337,5706 -12031,17
337,5736 -13957,35
337,5766 -15907,56
337,5796 -17861,71
337,5826 -19858,84
337,5856 -22276,89
337,5886 -24433,15
337,5916 -26428,65
337,5946 -28443,69
337,5976 -30250,3
337,6006 -31898,65
337,6036 -33351,12
337,6066 -34930,81
337,6096 -36384,63
337,6126 -37705,26
337,6156 -38999,71
337,6186 -40283,72
337,6216 -41544,79
337,6246 -42647,38
337,6276 -43553,12
337,6306 -44483,84
337,6336 -45431,71
337,6366 -46204,6
337,6396 -46955,09
337,6426 -47480,87
337,6457 -48057,07
337,6487 -48522,7
337,6516 -48959,6
337,6547 -49358,99
337,6577 -49763,11
337,6607 -49968,83
337,6637 -50152,86
