336 13,10946
336,97 967,9274
336,973 980,4327
336,976 980,1083
336,979 993,2254
336,982 1024,235
336,985 1044,117
336,988 1054,554
336,991 1093,425
336,994 1101,267
336,997 1114,758
337 1126,785
337,003 1153,671
337,006 1186,457
337,009 1198,039
337,012 1214,216
337,015 1230,372
337,018 1245,537
337,021 1251,985
337,024 1285,275
337,027 1334,065
337,03 1333,676
337,033 1346,105
337,036 1401,36
337,039 1405,263
337,0421 1443,595
337,045 1458,594
337,048 1473,828
337,0511 1517,495
337,054 1531,476
337,0571 1580,855
337,0601 1614,136
337,063 1645,606
337,0661 1638,063
337,0691 1687,123
337,0721 1727,229
337,0751 1746,296
337,0781 1778,059
337,0811 1824,375
337,0841 1852,557
337,0871 1882,893
337,0901 1918,302
337,0931 1956,927
337,0961 1984,608
337,0991 2038,832
337,1021 2074,553
337,1051 2120,949
337,1081 2148,358
337,1111 2202,913
337,1141 2252,093
337,1171 2288,872
337,1201 2336,554
337,1231 2382,402
337,1261 2434,195
337,1291 2488,171
337,1321 2548,893
337,1351 2585,991
337,1382 2641,405
337,1411 2702,779
337,1441 2759,853
337,1472 2816,063
337,1501 2879,957
337,1532 2942,044
337,1562 3026,009
337,1591 3101,667
337,1622 3158,054
337,1652 3214,428
337,1682 3281,472
337,1712 3371,213
337,1742 3457,471
337,1772 3553,065
337,1802 3607,561
337,1832 3702,593
337,1862 3776,419
337,1892 3877,781
337,1922 3987,514
337,1952 4084,593
337,1982 4196,283
337,2012 4311,872
337,2042 4402,349
337,2072 4505,019
337,2102 4612,967
337,2132 4725,246
337,2162 4836,069
337,2192 4978,701
337,2222 5114,256
337,2252 5227,376
337,2282 5388,643
337,2312 5523,05
337,2342 5644,807
337,2372 5814,239
337,2402 5955,701
337,2433 6121,734
337,2462 6315,411
337,2492 6516,21
337,2523 6693,924
337,2552 6853,682
337,2583 7055,388
337,2613 7267,894
337,2643 7459,84
337,2673 7630,028
337,2703 7888,878
337,2733 8149,942
337,2763 8388,33
337,2793 8635,354
337,2823 8904,485
337,2853 9207,67
337,2883 9530,661
337,2913 9792,402
337,2943 10106,94
337,2973 10424,3
337,3003 10753,75
337,3033 11114,87
337,3063 11520,08
337,3093 11875,6
337,3123 12228,65
337,3153 12689,96
337,3183 13132,61
337,3213 13514,86
337,3243 13994,41
337,3273 14482,21
337,3303 14991,87
337,3333 15551,37
337,3363 16153,56
337,3393 16681,77
337,3423 17126,9
337,3453 17809,72
337,3484 18401,95
337,3513 19084,6
337,3543 19791,6
337,3574 20496,18
337,3604 21189,6
337,3634 21975,5
337,3664 22813,89
337,3694 23587,43
337,3724 24452,79
337,3754 25461,29
337,3784 26506,85
337,3814 27361,14
337,3844 28332,13
337,3874 29390,71
337,3904 30494,94
337,3934 31415,12
337,3964 32265,89
337,3994 33442,64
337,4024 34465,42
337,4054 35559,23
337,4084 36564,43
337,4114 37610,34
337,4144 38711,74
337,4174 39636,72
337,4204 40545,93
337,4234 41521,46
337,4264 42360,3
337,4294 43190,6
337,4324 43833,87
337,4354 44474,32
337,4384 45128,86
337,4414 45637,43
337,4445 46105,54
337,4474 46507,54
337,4504 46845,61
337,4535 47087,48
337,4565 47212,86
337,4595 47260,45
337,4625 47234,46
337,4655 47130,55
337,4685 46880,1
337,4715 46556,87
337,4745 46151,88
337,4775 45573,14
337,4805 44899,19
337,4835 44117,79
337,4865 43271,74
337,4895 42359,95
337,4925 41343,48
337,4955 40140,17
337,4985 38852,75
337,5015 37640,07
337,5045 36194,13
337,5075 34689,79
337,5105 32921,57
337,5135 31274,72
337,5165 29629,82
337,5195 27565,23
337,5225 25748,95
337,5255 23666,97
337,5285 21658,72
337,5315 19457,38
337,5345 17158,12
337,5375 14905,72
337,5405 12735,63
337,5435 10348,88
337,5465 7182,731
337,5496 4840,53
337,5526 1957,799
337,5555 -567,9238
337,5586 -3375,522
337,5616 -5793,593
337,5646 -7951,575
337,5676 -10280,01
337,5706 -12261,16
337,5736 -14229,41
337,5766 -16945,23
337,5796 -18728,27
337,5826 -20439,74
337,5856 -22117,55
337,5886 -23492,72
337,5916 -25183,61
337,5946 -26706,54
337,5976 -27960,05
337,6006 -29440,52
337,6036 -30572,42
337,6066 -31809,93
337,6096 -32881,93
337,6126 -33737,98
337,6156 -34685,59
337,6186 -35534,18
337,6216 -36163,69
337,6246 -36785,77
337,6276 -37363,05
337,6306 -37788,42
337,6336 -38214,13
337,6366 -38729,8
337,6396 -39035,12
337,6426 -39234,32
337,6457 -39502,63
337,6487 -39615,57
337,6516 -39655,79
337,6547 -39829,34
337,6577 -39805,44
337,6607 -39732,85
337,6637 -39755,04
337,6667 -39645,68
337,6697 -39441,75
337,6727 -39264,21
337,6757 -39133,3
337,6787 -38834,68
337,6817 -38514,41
337,6847 -38252,28
337,6877 -37864,52
337,6907 -37608,54
337,6937 -37160,09
337,6967 -36724,96
337,6997 -36271,06
337,7027 -35769,17
337,7057 -35220,82
337,7087 -34692,29
337,7117 -34164,98
337,7147 -33576,68
337,7177 -32971,27
337,7207 -32407,06
337,7237 -31822,57
337,7267 -31064,39
337,7297 -30371,4
337,7327 -29593,09
337,7357 -28990,6
337,7387 -28315,99
337,7417 -27729,3
337,7448 -27044,38
337,7477 -26351,08
337,7508 -25592,73
337,7538 -24869,69
337,7567 -24186,47
337,7598 -23547,91
337,7628 -23040
337,7658 -22337,96
337,7688 -21717,24
337,7718 -21059,06
337,7748 -20408,56
337,7778 -19867,95
337,7808 -19265,91
337,7838 -18672,36
337,7868 -18170,65
337,7898 -17680,87
337,7928 -17142,7
337,7958 -16634,48
337,7988 -16163,72
337,8018 -15760,9
337,8048 -15260,49
337,8078 -14794,13
337,8108 -14416,17
337,8138 -13992,64
337,8168 -13645,9
337,8198 -13176,76
337,8228 -12740,93
337,8258 -12357,32
337,8288 -12039,7
337,8318 -11767,86
337,8348 -11377,57
337,8378 -10998,88
337,8409 -10708,37
337,8438 -10362,52
337,8468 -10061,99
337,8499 -9805,345
337,8528 -9487,236
337,8559 -9227,716
337,8589 -9014,09
337,8618 -8717,353
337,8649 -8508,78
337,8679 -8239,249
337,8709 -8058,728
337,8739 -7825,218
337,8769 -7594,313
337,8799 -7386,106
337,8829 -7198,419
337,8859 -7022,452
337,8889 -6855,458
337,8919 -6677,341
337,8949 -6560,043
337,8979 -6344,25
