
335 11,6774
336,946 33811,8
336,952 34196,3
336,9579 34557,32
336,964 34893,69
336,97 35252,24
336,976 35610,73
336,982 35959,02
336,988 36304,2
336,994 36614,09
337 36922,37
337,006 37279,38
337,012 37637,85
337,018 37980,71
337,024 38330,85
337,03 38651,65
337,036 38952,07
337,0421 39273,68
337,048 39583,57
337,054 39881,68
337,0601 40187,73
337,0661 40450,57
337,0721 40685,23
337,0781 40946,51
337,0841 41190,86
337,0901 41415,4
337,0961 41668,98
337,1021 41906,46
337,1081 42112,18
337,1141 42336,75
337,1201 42547,23
337,1261 42718,41
337,1321 42893,69
337,1382 43066,32
337,1441 43227,85
337,1501 43391,89
337,1562 43524,85
337,1622 43630,32
337,1682 43740,13
337,1742 43830,97
337,1802 43907,87
337,1862 43989,74
337,1922 44052,38
337,1982 44104,47
337,2042 44149,76
337,2102 44162,96
337,2162 44168,22
337,2222 44167,14
337,2282 44132,18
337,2342 44103,8
337,2402 44083,21
337,2462 44012,27
337,2523 43920,83
337,2583 43825,77
337,2643 43668,14
337,2703 43490,83
337,2763 43347,83
337,2823 43164
337,2883 42941,72
337,2943 42762,35
337,3003 42570,38
337,3063 42306,62
337,3123 42030,46
337,3183 41744,16
337,3243 41408,99
337,3303 41072,99
337,3363 40745,43
337,3423 40364,68
337,3484 39946,95
337,3543 39522,15
337,3604 39059,27
337,3664 38575,69
337,3724 38094,61
337,3784 37577,97
337,3844 37039,24
337,3904 36504,85
337,3964 35927,78
337,4024 35304,41
337,4084 34664,85
337,4144 33982,52
337,4204 33279,69
337,4264 32608,85
337,4324 31914,15
337,4384 31138,33
337,4445 30310,96
337,4504 29446,25
337,4565 28549,24
337,4625 27650,09
337,4685 26740,18
337,4745 25799,57
337,4805 24837,33
337,4865 23845,76
337,4925 22817,64
337,4985 21764,06
337,5045 20679,96
337,5105 19575,58
337,5165 18479,04
337,5225 17375,92
337,5285 16237,7
337,5345 15073,14
337,5405 13902,76
337,5465 12732,06
337,5526 11551,94
337,5586 10346,85
337,5646 9119,56
337,5706 7898,009
337,5766 6702,115
337,5826 5525,811
337,5886 4359,017
337,5946 3198,842
337,6006 2036,482
337,6066 863,1318
337,6126 -315,2769
337,6186 -1489,597
337,6246 -2658,994
337,6306 -3830,01
337,6366 -5017,252
337,6426 -6229,494
337,6487 -7460,176
337,6547 -8701,885
337,6607 -9946,362
337,6667 -11185,27
337,6727 -12424,46
337,6787 -13658,78
337,6847 -14863,56
337,6907 -16051,56
337,6967 -17267,63
337,7027 -18511,08
337,7087 -19747,79
337,7147 -20973,58
337,7207 -22188,97
337,7267 -23373,19
337,7327 -24520,66
337,7387 -25632,52
337,7448 -26709,96
337,7508 -27783,21
337,7567 -28859,23
337,7628 -29904,48
337,7688 -30923,29
337,7748 -31916,82
337,7808 -32846,79
337,7868 -33738,26
337,7928 -34636,54
337,7988 -35519,11
337,8048 -36391,15
337,8108 -37266,67
337,8168 -38091,31
337,8228 -38859,76
337,8288 -39609,66
337,8348 -40318,82
337,8409 -40992,41
337,8468 -41656,68
337,8528 -42281,35
337,8589 -42874,28
337,8649 -43457,91
337,8709 -43994,13
337,8769 -44491,19
337,8829 -44980,2
337,8889 -45434,95
337,8949 -45859,3
337,9009 -46273,84
337,9069 -46658,92
337,9129 -47003,17
337,9189 -47307,53
337,9249 -47595,75
337,9309 -47885,08
337,937 -48130,04
337,9429 -48338,17
337,9489 -48560,22
337,955 -48735,49
337,961 -48831,04
337,967 -48928,49
337,973 -49019,8
337,979 -49054,61
337,985 -49088,7
337,991 -49133,04
337,997 -49135,55
338,003 -49115,21
338,009 -49069,25
338,015 -48973,25
338,021 -48884,11
338,027 -48806,76
338,033 -48687,94
338,039 -48562,45
338,045 -48442,3
338,0511 -48278,53
338,0571 -48095,22
338,063 -47903,25
338,0691 -47666,27
338,0751 -47421,65
338,0811 -47186,75
338,0871 -46918,89
338,0931 -46640,91
338,0991 -46364,4
338,1051 -46047,04
338,1111 -45700,37
338,1171 -45337,62
338,1231 -44960,64
338,1291 -44618,07
338,1351 -44291,87
338,1411 -43921,45
338,1472 -43545,3
338,1532 -43173,64
338,1591 -42743,91
338,1652 -42297,66
338,1712 -41890,69
338,1772 -41475,43
338,1832 -41055,93
338,1892 -40659,41
338,1952 -40226,86
338,2012 -39755,76
338,2072 -39298,5
338,2132 -38841,43
338,2192 -38389,29
338,2252 -37960,71
338,2312 -37518,59
338,2372 -37065,91
338,2433 -36610,86
338,2492 -36100,88
338,2552 -35566,43
338,2613 -35084,2
338,2673 -34627,07
338,2733 -34173,95
338,2793 -33745,02
338,2853 -33300,35
338,2913 -32834,93
338,2973 -32400,62
338,3033 -31969,13
338,3093 -31505,14
338,3153 -31052,21
338,3213 -30614,8
338,3273 -30165,59
338,3333 -29737,48
338,3393 -29332,79
338,3453 -28903,07
338,3513 -28470,24
338,3574 -28070,2
338,3634 -27672,21
338,3694 -27268,11
338,3754 -26872,56
338,3814 -26468,84
338,3874 -26062,66
338,3934 -25671,38
338,3994 -25285,38
338,4054 -24910,96
338,4114 -24552,52
338,4174 -24192,77
338,4234 -23841,11
338,4294 -23499,55
338,4354 -23138,76
338,4414 -22770,52
338,4474 -22423,96
338,4535 -22085,68
338,4595 -21748,88
338,4655 -21419,7
338,4715 -21086,63
338,4775 -20759,85
338,4835 -20454,12
338,4895 -20150,1
338,4955 -19847,09
338,5015 -19558,02
338,5075 -19264,69
338,5135 -18968,91
338,5195 -18695,97
338,5255 -18433,12
338,5315 -18162,73
338,5375 -17896,22
338,5435 -17634,66
338,5496 -17374,34
338,5555 -17128,42
338,5616 -16896,59
338,5676 -16663,2
338,5736 -16422,67
338,5796 -16172,69
338,5856 -15917,36
338,5916 -15674,79
338,5976 -15449,31
338,6036 -15229,28
338,6096 -15014,96
338,6156 -14804,18
338,6216 -14583,34
338,6276 -14360,79
338,6336 -14155,88
338,6396 -13962,2
338,6457 -13767,69
338,6516 -13573,96
338,6577 -13379,69
338,6637 -13184,62
338,6697 -12996,3
338,6757 -12815,32
338,6817 -12636,51
338,6877 -12459,66
338,6937 -12284,8
338,6997 -12110,54
338,7057 -11939,22
338,7117 -11774,34
338,7177 -11616,54
338,7237 -11465,19
338,7297 -11317,74
338,7357 -11170,3
338,7417 -11023,37
338,7477 -10879,08
338,7538 -10734,99
338,7598 -10587,17
338,7658 -10434,32
338,7718 -10280,8
338,7778 -10136,21
338,7838 -10005,02
338,7898 -9883,007
338,7958 -9762,398
338,8018 -9632,345
338,8078 -9490,626
338,8138 -9353,561
338,8198 -9233,268
338,8258 -9122,321
338,8318 -9012,281
338,8378 -8900,936
