335 0,01199505
336,9219 2154,622
336,9279 2184,449
336,9339 2213,462
336,9399 2241,783
336,946 2269,636
336,952 2297,327
336,9579 2325,186
336,964 2353,497
336,97 2382,451
336,976 2412,118
336,982 2442,438
336,988 2473,199
336,994 2504,047
337 2534,516
337,006 2564,13
337,012 2592,546
337,018 2619,698
337,024 2645,864
337,03 2671,629
337,036 2697,704
337,0421 2724,689
337,048 2752,861
337,054 2782,094
337,0601 2811,958
337,0661 2841,919
337,0721 2871,558
337,0781 2900,667
337,0841 2929,198
337,0901 2957,125
337,0961 2984,294
337,1021 3010,384
337,1081 3034,963
337,1141 3057,638
337,1201 3078,209
337,1261 3096,786
337,1321 3113,815
337,1382 3130,007
337,1441 3146,155
337,1501 3162,886
337,1562 3180,434
337,1622 3198,53
337,1682 3216,494
337,1742 3233,472
337,1802 3248,726
337,1862 3261,824
337,1922 3272,668
337,1982 3281,381
337,2042 3288,164
337,2102 3293,195
337,2162 3296,608
337,2222 3298,511
337,2282 3298,976
337,2342 3298,015
337,2402 3295,528
337,2462 3291,274
337,2523 3284,873
337,2583 3275,846
337,2643 3263,715
337,2703 3248,155
337,2763 3229,212
337,2823 3207,489
337,2883 3184,168
337,2943 3160,788
337,3003 3138,771
337,3063 3118,913
337,3123 3101,07
337,3183 3084,203
337,3243 3066,768
337,3303 3047,225
337,3363 3024,428
337,3423 2997,781
337,3484 2967,167
337,3543 2932,809
337,3604 2895,143
337,3664 2854,751
337,3724 2812,29
337,3784 2768,396
337,3844 2723,557
337,3904 2678,041
337,3964 2631,891
337,4024 2585,006
337,4084 2537,211
337,4144 2488,296
337,4204 2438,013
337,4264 2386,082
337,4324 2332,247
337,4384 2276,357
337,4445 2218,446
337,4504 2158,731
337,4565 2097,553
337,4625 2035,265
337,4685 1972,112
337,4745 1908,158
337,4805 1843,281
337,4865 1777,249
337,4925 1709,838
337,4985 1640,935
337,5045 1570,571
337,5105 1498,871
337,5165 1425,967
337,5225 1351,923
337,5285 1276,737
337,5345 1200,39
337,5405 1122,909
337,5465 1044,406
337,5526 965,048
337,5586 885,0062
337,5646 804,4036
337,5706 723,3095
337,5766 641,7848
337,5826 559,9542
337,5886 478,0569
337,5946 396,4339
337,6006 315,4434
337,6066 235,3372
337,6126 156,1521
337,6186 77,66791
337,6246 -0,5522592
337,6306 -79,06062
337,6366 -158,4019
337,6426 -239,0044
337,6487 -321,1012
337,6547 -404,6837
337,6607 -489,4944
337,6667 -575,0684
337,6727 -660,832
337,6787 -746,2441
337,6847 -830,9334
337,6907 -914,7772
337,6967 -997,8862
337,7027 -1080,508
337,7087 -1162,9
337,7147 -1245,234
337,7207 -1327,557
337,7267 -1409,81
337,7327 -1491,862
337,7387 -1573,542
337,7448 -1654,648
337,7508 -1734,963
337,7567 -1814,266
337,7628 -1892,381
337,7688 -1969,212
337,7748 -2044,771
337,7808 -2119,162
337,7868 -2192,534
337,7928 -2265,006
337,7988 -2336,622
337,8048 -2407,339
337,8108 -2477,044
337,8168 -2545,584
337,8228 -2612,784
337,8288 -2678,471
337,8348 -2742,506
337,8409 -2804,836
337,8468 -2865,515
337,8528 -2924,663
337,8589 -2982,368
337,8649 -3038,565
337,8709 -3092,963
337,8769 -3145,074
337,8829 -3194,337
337,8889 -3240,279
337,8949 -3282,662
337,9009 -3321,542
337,9069 -3357,246
337,9129 -3390,302
337,9189 -3421,362
337,9249 -3451,144
337,9309 -3480,355
337,937 -3509,567
337,9429 -3539,038
337,9489 -3568,564
337,955 -3597,434
337,961 -3624,576
337,967 -3648,825
337,973 -3669,229
337,979 -3685,241
337,985 -3696,762
337,991 -3704,047
337,997 -3707,549
338,003 -3707,78
338,009 -3705,226
338,015 -3700,313
338,021 -3693,378
338,027 -3684,654
338,033 -3674,23
338,039 -3662,059
338,045 -3648,003
338,0511 -3631,924
338,0571 -3613,77
338,063 -3593,593
338,0691 -3571,499
338,0751 -3547,551
338,0811 -3521,728
338,0871 -3494
338,0931 -3464,491
338,0991 -3433,628
338,1051 -3402,152
338,1111 -3370,943
338,1171 -3340,713
338,1231 -3311,736
338,1291 -3283,743
338,1351 -3256,037
338,1411 -3227,76
338,1472 -3198,179
338,1532 -3166,877
338,1591 -3133,791
338,1652 -3099,137
338,1712 -3063,292
338,1772 -3026,684
338,1832 -2989,717
338,1892 -2952,72
338,1952 -2915,901
338,2012 -2879,298
338,2072 -2842,783
338,2132 -2806,111
338,2192 -2769,033
338,2252 -2731,407
338,2312 -2693,254
338,2372 -2654,719
338,2433 -2615,969
338,2492 -2577,084
338,2552 -2538,015
338,2613 -2498,649
338,2673 -2458,944
338,2733 -2419,066
338,2793 -2379,428
338,2853 -2340,599
338,2913 -2303,099
338,2973 -2267,207
338,3033 -2232,871
338,3093 -2199,769
338,3153 -2167,461
338,3213 -2135,534
338,3273 -2103,665
338,3333 -2071,613
338,3393 -2039,206
338,3453 -2006,394
338,3513 -1973,347
338,3574 -1940,495
338,3634 -1908,443
338,3694 -1877,748
338,3754 -1848,682
338,3814 -1821,122
338,3874 -1794,643
338,3934 -1768,737
338,3994 -1743,038
338,4054 -1717,41
338,4114 -1691,894
338,4174 -1666,591
338,4234 -1641,56
338,4294 -1616,805
338,4354 -1592,309
338,4414 -1568,092
338,4474 -1544,225
338,4535 -1520,823
338,4595 -1498,005
338,4655 -1475,854
338,4715 -1454,384
338,4775 -1433,529
338,4835 -1413,163
338,4895 -1393,142
338,4955 -1373,365
338,5015 -1353,79
338,5075 -1334,417
338,5135 -1315,231
338,5195 -1296,173
338,5255 -1277,151
338,5315 -1258,114
338,5375 -1239,115
338,5435 -1220,314
338,5496 -1201,901
338,5555 -1183,99
338,5616 -1166,556
338,5676 -1149,451
338,5736 -1132,484
338,5796 -1115,506
338,5856 -1098,446
338,5916 -1081,31
338,5976 -1064,161
338,6036 -1047,106
338,6096 -1030,291
338,6156 -1013,884
338,6216 -998,0489
338,6276 -982,929
338,6336 -968,6372
338,6396 -955,2564
338,6457 -942,824
338,6516 -931,3002
338,6577 -920,5338
338,6637 -910,252
338,6697 -900,0862
338,6757 -889,6306
338,6817 -878,5164
338,6877 -866,4956
338,6937 -853,5242
338,6997 -839,826
338,7057 -825,8991
338,7117 -812,4233
338,7177 -800,0667
338,7237 -789,2438
338,7297 -779,9313
338,7357 -771,6406
338,7417 -763,5814
338,7477 -754,9551
338,7538 -745,2476
338,7598 -734,3907
338,7658 -722,7271
338,7718 -710,8134
338,7778 -699,1662
338,7838 -688,0719
338,7898 -677,5374
338,7958 -667,3843
338,8018 -657,4238
338,8078 -647,6159
338,8138 -638,1325
338,8198 -629,2913
338,8258 -621,395
338,8318 -614,5565
338,8378 -608,5995
338,8438 -603,0863
338,8499 -597,4615
338,8559 -591,2498
338,8618 -584,2236
338,8679 -576,4753
338,8739 -568,3688
338,8799 -560,395
338,8859 -552,9909
338,8919 -546,3933
