
336 3,274803
336,003 -1,212393
336,006 2,874109
336,009 6,265437
336,012 -8,229797
336,015 -12,30292
336,018 1,409192
336,021 8,238756
336,024 -13,6586
336,027 6,615196
336,03 0,7326857
336,033 16,89384
336,036 18,79464
336,039 9,433077
336,0421 23,81288
336,045 21,24193
336,048 28,84478
336,0511 38,30371
336,054 38,80748
336,0571 39,49445
336,0601 36,07776
336,063 43,74005
336,0661 40,81037
336,0691 49,11621
336,0721 49,84511
336,0751 49,78626
336,0781 65,78954
336,0811 69,04142
336,0841 70,87762
336,0871 68,98804
336,0901 74,55997
336,0931 79,99809
336,0961 94,44991
336,0991 101,2032
336,1021 98,97896
336,1051 114,5117
336,1081 104,2384
336,1111 113,6615
336,1141 113,4095
336,1171 125,0606
336,1201 131,3199
336,1231 131,3185
336,1261 123,0337
336,1291 143,0803
336,1321 139,4859
336,1351 145,1882
336,1382 142,0312
336,1411 179,065
336,1441 176,9202
336,1472 182,3778
336,1501 169,8999
336,1532 186,2237
336,1562 194,8259
336,1591 190,6238
336,1622 201,6517
336,1652 197,1002
336,1682 224,8731
336,1712 228,1729
336,1742 219,1917
336,1772 227,5841
336,1802 261,8878
336,1832 245,3598
336,1862 235,3669
336,1892 260,1652
336,1922 265,0117
336,1952 260,4206
336,1982 277,1688
336,2012 281,0462
336,2042 280,7949
336,2072 308,5736
336,2102 305,1161
336,2132 311,3694
336,2162 341,7293
336,2192 324,2047
336,2222 331,7157
336,2252 325,537
336,2282 359,0578
336,2312 360,6528
336,2342 369,8347
336,2372 363,9839
336,2402 371,3588
336,2433 390,7651
336,2462 397,4425
336,2492 414,4669
336,2523 408,8205
336,2552 421,7757
336,2583 417,3164
336,2613 426,2542
336,2643 444,7891
336,2673 475,4438
336,2703 474,1123
336,2733 472,6505
336,2763 478,5506
336,2793 504,3024
336,2823 496,6256
336,2853 508,4236
336,2883 509,5105
336,2913 523,0016
336,2943 545,4822
336,2973 549,7448
336,3003 554,2955
336,3033 566,7706
336,3063 574,0181
336,3093 589,4399
336,3123 587,2394
336,3153 603,8845
336,3183 602,0083
336,3213 633,2249
336,3243 645,3973
336,3273 638,8072
