
335 -6,742187
335,006 -9,25493
335,012 -10,17455
335,018 -8,483529
335,024 -4,207654
335,03 1,075403
335,036 4,991327
335,0421 6,455627
335,048 6,986568
335,054 9,304913
335,0601 14,50736
335,0661 21,04165
335,0721 26,49412
335,0781 29,8345
335,0841 31,71825
335,0901 33,36026
335,0961 35,93911
335,1021 40,73256
335,1081 48,6548
335,1141 59,1687
335,1201 70,17241
335,1261 79,50398
335,1321 86,65987
335,1382 92,99536
335,1441 100,1449
335,1501 108,1353
335,1562 115,2104
335,1622 119,7524
335,1682 122,1799
335,1742 124,6091
335,1802 128,8381
335,1862 135,1406
335,1922 142,9339
335,1982 151,9116
335,2042 162,1118
335,2102 173,2147
335,2162 184,2065
335,2222 193,7734
335,2282 201,1236
335,2342 206,8031
335,2402 212,7407
335,2462 220,9927
335,2523 232,0774
335,2583 244,5912
335,2643 256,4949
335,2703 266,673
335,2763 275,2924
335,2823 282,9399
335,2883 289,7572
335,2943 295,5387
335,3003 300,4329
335,3063 305,2503
335,3123 311,1252
335,3183 319,0317
335,3243 329,4427
335,3303 342,1456
335,3363 356,3872
335,3423 371,2605
335,3484 385,8115
335,3543 398,9308
335,3604 409,7475
335,3664 418,3616
335,3724 425,7735
335,3784 432,8951
335,3844 439,976
335,3904 447,1259
335,3964 454,9542
335,4024 464,3518
335,4084 475,8051
335,4144 489,0648
335,4204 503,2199
335,4264 516,879
335,4324 528,6393
335,4384 537,9774
335,4445 545,8572
335,4504 554,1983
335,4565 564,5266
335,4625 577,0747
335,4685 591,0032
335,4745 605,2346
335,4805 619,0732
335,4865 632,2781
335,4925 644,8503
335,4985 656,9293
335,5045 668,7526
335,5105 680,4255
335,5165 691,8042
335,5225 702,8882
335,5285 714,1937
335,5345 726,3705
335,5405 739,5193
335,5465 753,2269
335,5526 767,2143
335,5586 781,5047
335,5646 795,8297
335,5706 809,4055
335,5766 821,8272
335,5826 833,9127
335,5886 847,0712
335,5946 862,0075
335,6006 878,5414
335,6066 896,2872
335,6126 914,8086
335,6186 933,453
335,6246 951,6687
335,6306 969,2281
335,6366 985,866
335,6426 1001,221
335,6487 1015,478
335,6547 1029,649
335,6607 1044,831
335,6667 1061,281
335,6727 1078,294
335,6787 1094,94
335,6847 1110,908
335,6907 1126,744
335,6967 1143,462
335,7027 1162,009
335,7087 1182,834
335,7147 1205,43
335,7207 1228,241
335,7267 1249,544
335,7327 1268,676
335,7387 1286,145
335,7448 1302,662
335,7508 1318,682
335,7567 1335,007
335,7628 1352,966
335,7688 1373,411
335,7748 1395,725
335,7808 1418,097
335,7868 1438,77
335,7928 1457,425
335,7988 1475,682
335,8048 1495,766
335,8108 1518,172
335,8168 1541,096
335,8228 1562,707
335,8288 1583,46
335,8348 1605,505
335,8409 1630,108
335,8468 1656,325
335,8528 1682,172
335,8589 1706,553
335,8649 1729,824
335,8709 1752,98
335,8769 1776,83
335,8829 1801,943
335,8889 1828,829
335,8949 1857,604
335,9009 1887,477
335,9069 1916,997
335,9129 1945,116
335,9189 1971,747
335,9249 1997,16
335,9309 2021,559
335,937 2045,862
335,9429 2072,125
335,9489 2102,027
335,955 2135,038
335,961 2168,874
335,967 2201,655
335,973 2233,069
335,979 2263,766
335,985 2294,553
335,991 2326,352
335,997 2360,185
336,003 2396,536
336,009 2434,575
336,015 2472,261
336,021 2507,627
336,027 2540,303
336,033 2571,801
336,039 2604,214
