
335 15,52223
336,8859 12,81882
336,8919 -5,616861
336,8979 13,77935
336,9039 1,773758
336,9099 -2,876226
336,9159 -13,73835
336,9219 1,255715
336,9279 12,68742
336,9339 -4,309102
336,9399 13,43261
336,946 3,587975
336,952 3,735649
336,9579 2,914269
336,964 -0,8738747
336,97 -0,1580612
336,976 6,809876
336,982 4,787405
336,988 0,2497545
336,994 -1,75483
337 -3,866564
337,006 -8,575494
337,012 -6,350832
337,018 5,850434
337,024 2,353551
337,03 -10,77832
337,036 -10,8304
337,0421 -4,299755
337,048 7,743322
337,054 0,57411
337,0601 -3,630009
337,0661 10,13192
337,0721 -0,7350212
337,0781 -0,7839115
337,0841 17,77542
337,0901 -1,305198
337,0961 11,89556
337,1021 24,99194
337,1081 12,18862
337,1141 4,549867
337,1201 14,69443
337,1261 10,7087
337,1321 21,92884
337,1382 -0,5241489
337,1441 10,85011
337,1501 13,25155
337,1562 5,992256
337,1622 15,51754
337,1682 15,19148
337,1742 10,79986
337,1802 19,55249
337,1862 5,069597
337,1922 5,290934
337,1982 11,15115
337,2042 -7,226947
337,2102 0,8684074
337,2162 14,09481
337,2222 -7,325583
337,2282 10,70298
337,2342 4,639944
337,2402 14,90581
337,2462 17,71337
337,2523 9,304169
337,2583 19,60198
337,2643 15,99857
337,2703 16,1664
337,2763 8,867741
337,2823 14,09838
337,2883 3,563547
337,2943 17,57053
337,3003 10,81721
337,3063 7,83966
337,3123 20,84137
337,3183 -2,00321
337,3243 6,837883
337,3303 25,47259
337,3363 7,677042
337,3423 19,5191
337,3484 17,14125
337,3543 2,976154
337,3604 18,62337
337,3664 17,22035
337,3724 6,6652
337,3784 10,93537
337,3844 16,37636
337,3904 16,76317
337,3964 13,82763
337,4024 20,95067
337,4084 15,61277
337,4144 9,761222
337,4204 24,35948
337,4264 10,7396
337,4324 31,31459
337,4384 16,04243
337,4445 18,0437
337,4504 16,92381
337,4565 20,09173
337,4625 10,5441
337,4685 3,8827
337,4745 -8,077235
337,4805 -2,229254
337,4865 16,15281
337,4925 7,891064
337,4985 29,76557
337,5045 37,87521
337,5105 28,37121
337,5165 14,5947
337,5225 25,32463
337,5285 2,922735
337,5345 19,62537
337,5405 16,52144
337,5465 24,78968
337,5526 6,922697
337,5586 30,56442
337,5646 23,27331
337,5706 27,6083
337,5766 30,57375
337,5826 20,98805
337,5886 19,14506
337,5946 11,93099
337,6006 22,88461
337,6066 15,93001
337,6126 22,74155
337,6186 37,44118
337,6246 14,66734
337,6306 13,12686
337,6366 8,231221
337,6426 29,1853
337,6487 18,0177
337,6547 31,6091
337,6607 49,38716
337,6667 29,41945
337,6727 39,78451
337,6787 44,72929
337,6847 35,27792
337,6907 57,30476
337,6967 31,86943
337,7027 47,44112
337,7087 57,23216
337,7147 60,01598
337,7207 45,30136
337,7267 47,50889
337,7327 53,75283
337,7387 58,71424
337,7448 52,09822
337,7508 60,26062
337,7567 71,25039
337,7628 68,74194
337,7688 67,01199
337,7748 59,53853
337,7808 73,53539
337,7868 76,90106
337,7928 65,68182
337,7988 81,87218
337,8048 83,96925
337,8108 66,5453
337,8168 67,73308
337,8228 74,88511
337,8288 79,52447
337,8348 76,37239
337,8409 93,58921
337,8468 93,38178
337,8528 95,65421
337,8589 102,5781
337,8649 105,3804
337,8709 129,7353
337,8769 114,5214
337,8829 138,9175
337,8889 135,7798
337,8949 159,5709
337,9009 166,4438
337,9069 197,947
337,9129 211,9223
337,9189 217,8885
337,9249 249,7313
337,9309 312,9603
337,937 327,4665
337,9429 388,1909
337,9489 409,5886
337,955 477,9564
337,961 530,4153
337,967 572,7986
337,973 633,8016
337,979 690,2874
337,985 756,1563
337,991 836,7289
337,997 907,588
338,003 954,7496
338,009 1013,836
338,015 1062,519
338,021 1126,504
338,027 1150,052
338,033 1166,9
338,039 1181,234
338,045 1158,135
338,0511 1140,784
338,0571 1093,039
338,063 1003,437
338,0691 922,6642
338,0751 802,4102
338,0811 669,1132
338,0871 507,7313
338,0931 332,0274
338,0991 160,3288
338,1051 -3,621909
338,1111 -138,8439
338,1171 -313,649
338,1231 -470,5736
338,1291 -602,1201
338,1351 -743,9407
338,1411 -834,738
338,1472 -910,2896
338,1532 -986,7718
338,1591 -1022,814
338,1652 -1065,487
338,1712 -1061,052
338,1772 -1048,94
338,1832 -1041,886
338,1892 -999,559
338,1952 -954,0009
338,2012 -923,0469
338,2072 -869,89
338,2132 -807,8831
338,2192 -751,1695
338,2252 -696,639
338,2312 -640,4996
338,2372 -586,0671
338,2433 -532,7785
338,2492 -486,1465
338,2552 -449,0979
338,2613 -404,6649
338,2673 -354,4998
338,2733 -298,9349
338,2793 -291,9577
338,2853 -250,8928
338,2913 -228,1955
338,2973 -190,6206
338,3033 -196,1532
338,3093 -172,9403
338,3153 -153,7549
338,3213 -142,4026
338,3273 -123,2154
338,3333 -112,4688
338,3393 -114,9979
338,3453 -103,4745
338,3513 -97,35822
338,3574 -80,81793
338,3634 -77,37733
338,3694 -82,02185
338,3754 -64,62626
338,3814 -70,01477
338,3874 -66,16903
338,3934 -70,67935
338,3994 -55,7882
338,4054 -58,04856
338,4114 -69,43698
338,4174 -68,95728
338,4234 -66,08757
338,4294 -73,44246
338,4354 -65,65716
338,4414 -47,8334
338,4474 -52,91047
338,4535 -40,23019
338,4595 -47,15641
338,4655 -50,39531
338,4715 -40,43835
338,4775 -40,45081
338,4835 -32,2464
338,4895 -37,06034
338,4955 -36,95195
338,5015 -25,97494
338,5075 -31,03505
338,5135 -29,04473
338,5195 -21,51815
338,5255 -11,26784
338,5315 -35,99963
338,5375 -7,785662
338,5435 -13,88913
338,5496 -27,24645
338,5555 -17,50498
338,5616 -4,960778
338,5676 -15,56339
338,5736 -20,42026
338,5796 -26,3455
338,5856 -0,537532
338,5916 -0,4695988
338,5976 -3,945102
338,6036 -10,24994
338,6096 -12,51869
338,6156 -3,682183
338,6216 7,867738
338,6276 3,412138
338,6336 -8,385153
338,6396 16,24051
338,6457 -0,8621568
338,6516 -4,622085
338,6577 -9,376863
338,6637 1,662536
338,6697 9,764232
338,6757 13,72235
338,6817 -0,3130588
338,6877 -2,590552
338,6937 -3,683991
338,6997 3,009907
338,7057 -6,545698
338,7117 12,91487
338,7177 9,342146
338,7237 0,2932281
338,7297 12,39393
338,7357 -2,106797
338,7417 -5,293892
338,7477 5,141489
338,7538 10,60504
338,7598 8,02584
338,7658 19,64065
338,7718 7,039738
338,7778 3,049889
338,7838 5,504957
338,7898 22,42095
338,7958 12,33656
338,8018 16,12785
338,8078 15,05195
338,8138 8,277859
338,8198 -2,172071
338,8258 3,154319
338,8318 17,0477
338,8378 11,82731
338,8438 3,63692
338,8499 13,82936
338,8559 14,95191
338,8618 13,53466
338,8679 9,143129
338,8739 21,22934
338,8799 18,72287
338,8859 23,50349
338,8919 12,05682
338,8979 14,57538
338,9039 15,66858
338,9099 13,27788
338,9159 19,96593
338,9219 7,051169
338,9279 18,20761
338,9339 31,69946
338,9399 20,45579
338,946 8,775405
338,952 14,31277
338,9579 8,559295
338,964 10,25455
338,97 7,459069
338,976 32,95061
338,982 7,724403
338,988 18,18059
338,994 12,5187
339 29,80967
339,006 22,1513
339,012 18,56187
339,018 17,55231
339,024 12,17043
339,03 19,01069
339,036 17,66064
339,0421 25,28898
339,048 20,9351
339,054 11,11075
339,0601 16,43956
339,0661 16,39645
339,0721 26,97702
339,0781 12,14268
339,0841 29,7287
339,0901 9,672985
339,0961 16,25982
339,1021 18,96923
339,1081 19,0759
339,1141 16,64924
339,1201 17,74617
339,1261 23,64956
339,1321 23,9863
339,1382 13,15126
339,1441 42,51949
339,1501 33,99452
339,1562 14,084
339,1622 26,18162
339,1682 30,2785
339,1742 32,15272
339,1802 32,7719
339,1862 18,06005
339,1922 21,47066
339,1982 16,28693
339,2042 25,25733
339,2102 15,76662
339,2162 34,03025
339,2222 25,99368
339,2282 42,25743
339,2342 29,40108
339,2402 35,23959
339,2462 23,70929
339,2523 30,40071
339,2583 28,7236
339,2643 36,96125
339,2703 15,35676
339,2763 36,53164
339,2823 35,22663
339,2883 24,05791
339,2943 25,55342
339,3003 25,04948
339,3063 26,39493
339,3123 30,76321
339,3183 40,72992
339,3243 28,08327
339,3303 35,54982
339,3363 29,64241
339,3423 39,74962
339,3484 39,0885
339,3543 20,28117
339,3604 29,14168
339,3664 34,2874
339,3724 30,98489
339,3784 26,68881
339,3844 25,39976
339,3904 25,16406
339,3964 38,61836
339,4024 34,29855
339,4084 45,32746
339,4144 51,83339
339,4204 38,18721
339,4264 46,63704
339,4324 52,63251
339,4384 41,43421
339,4445 51,65687
339,4504 51,55074
339,4565 62,14154
339,4625 69,2065
339,4685 76,79471
339,4745 85,43902
339,4805 80,60728
339,4865 71,19357
339,4925 71,67799
339,4985 71,90625
339,5045 82,45448
339,5105 84,232
339,5165 84,25099
339,5225 88,44322
339,5285 83,09588
339,5345 100,2399
339,5405 82,354
339,5465 83,55571
339,5526 77,93908
339,5586 92,59509
339,5646 103,7074
339,5706 110,7593
339,5766 99,44469
339,5826 116,1844
339,5886 111,1793
339,5946 119,4733
339,6006 120,5772
339,6066 130,4524
339,6126 153,9445
339,6186 156,8771
339,6246 185,3295
339,6306 200,6134
339,6366 213,7397
339,6426 243,7411
339,6487 278,321
339,6547 299,179
339,6607 333,9502
339,6667 376,3255
339,6727 426,2278
339,6787 464,3008
339,6847 517,1276
339,6907 570,1777
339,6967 636,1078
339,7027 679,3807
339,7087 729,3176
339,7147 789,46
339,7207 862,331
339,7267 909,5022
339,7327 963,1731
339,7387 1024,533
339,7448 1053,633
339,7508 1079,358
339,7567 1099,042
339,7628 1100,743
339,7688 1090,442
339,7748 1056,27
339,7808 1014,548
339,7868 934,0513
339,7928 847,9263
339,7988 748,6325
339,8048 634,6176
339,8108 474,1095
339,8168 339,7135
339,8228 178,1907
339,8288 17,02303
339,8348 -129,7518
339,8409 -263,7488
339,8468 -422,5311
339,8528 -553,0482
339,8589 -679,5394
339,8649 -768,3254
339,8709 -852,674
339,8769 -917,0687
339,8829 -969,5322
339,8889 -982,6028
339,8949 -1010,026
339,9009 -1005,113
339,9069 -988,8195
339,9129 -958,2601
339,9189 -931,3932
339,9249 -888,4982
339,9309 -839,4279
339,937 -786,8337
339,9429 -728,2729
339,9489 -693,1165
339,955 -623,7122
339,961 -581,4144
339,967 -520,1879
339,973 -499,3865
339,979 -424,2937
339,985 -396,3818
339,991 -350,0063
339,997 -318,0646
340,003 -298,2683
340,009 -250,1812
340,015 -226,658
340,021 -200,5895
340,027 -182,9384
340,033 -159,8844
340,039 -145,0607
340,045 -147,195
340,0511 -134,5815
340,0571 -114,5326
340,063 -114,5749
340,0691 -103,216
340,0751 -87,67674
340,0811 -92,29939
340,0871 -86,05528
340,0931 -81,188
340,0991 -77,54692
340,1051 -61,03629
340,1111 -90,45833
340,1171 -66,97993
340,1231 -53,10934
340,1291 -53,6966
340,1351 -60,63007
340,1411 -58,21507
340,1472 -40,43763
340,1532 -56,07929
340,1591 -55,20884
340,1652 -48,90628
340,1712 -44,19685
340,1772 -40,3701
340,1832 -29,57962
340,1892 -37,50648
340,1952 -37,9451
340,2012 -31,04159
340,2072 -55,92901
340,2132 -42,64773
340,2192 -20,41935
340,2252 -41,1154
340,2312 -36,66928
340,2372 -17,32093
340,2433 -2,703295
340,2492 -10,12536
340,2552 -8,427115
340,2613 -10,77804
340,2673 -9,378888
340,2733 -20,77424
340,2793 1,491619
340,2853 -9,679408
340,2913 -16,89617
340,2973 -6,036861
340,3033 -17,48901
340,3093 -2,590977
340,3153 -3,941049
340,3213 -6,886075
340,3273 3,292796
340,3333 10,0576
340,3393 -7,912572
340,3453 16,83822
340,3513 13,85916
340,3574 -3,516464
340,3634 16,46202
340,3694 0,9680071
340,3754 19,89253
340,3814 18,78123
340,3874 0,1948304
340,3934 -0,2734983
340,3994 20,48103
340,4054 21,25995
340,4114 23,28448
340,4174 14,50384
340,4234 9,316424
340,4294 6,275346
340,4354 6,631537
340,4414 10,54918
340,4474 8,731337
340,4535 11,22057
340,4595 10,25375
340,4655 31,27183
340,4715 11,05842
340,4775 19,11266
340,4835 10,98143
340,4895 -2,044532
340,4955 14,58453
340,5015 -1,835203
