336 -7,883062
336,973 3219,345
336,976 3287,503
336,979 3348,491
336,982 3417,835
336,985 3481,558
336,988 3536,318
336,991 3605,192
336,994 3657,464
336,997 3749,601
337 3824,975
337,003 3889,234
337,006 3962,325
337,009 4056,067
337,012 4125,345
337,015 4201,007
337,018 4294,757
337,021 4372,083
337,024 4461,412
337,027 4548,17
337,03 4634,829
337,033 4735,566
337,036 4829,293
337,039 4928,599
337,0421 5026,083
337,045 5136,321
337,048 5251,835
337,0511 5354,722
337,054 5458,702
337,0571 5620,274
337,0601 5735,345
337,063 5832,544
337,0661 5958,713
337,0691 6100,091
337,0721 6244,975
337,0751 6355,603
337,0781 6489,284
337,0811 6628,351
337,0841 6793,051
337,0871 6920,113
337,0901 7096,407
337,0931 7294,831
337,0961 7449,211
337,0991 7610,853
337,1021 7833,859
337,1051 7988,16
337,1081 8171,901
337,1111 8373,96
337,1141 8581,925
337,1171 8793,913
337,1201 9020,561
337,1231 9279,593
337,1261 9476,665
337,1291 9773,846
337,1321 9998,441
337,1351 10216,45
337,1382 10489,04
337,1411 10747,16
337,1441 11044,81
337,1472 11324,07
337,1501 11626,87
337,1532 11925,85
337,1562 12262,26
337,1591 12555,22
337,1622 12858,56
337,1652 13271,16
337,1682 13605,52
337,1712 14036,73
337,1742 14470,5
337,1772 14933,69
337,1802 15287,75
337,1832 15788,77
337,1862 16230,61
337,1892 16768,8
337,1922 17273,04
337,1952 17838,32
337,1982 18286,71
337,2012 18909,6
337,2042 19588,17
337,2072 20119,85
337,2102 20775,56
337,2132 21497,13
337,2162 22107,12
337,2192 22803,52
337,2222 23478,48
337,2252 24117,75
337,2282 25047,2
337,2312 25920,78
337,2342 26632
337,2372 27469,22
337,2402 28255,8
337,2433 29231,82
337,2462 30265,85
337,2492 31293,37
337,2523 32336,41
337,2552 33059,61
337,2583 34222,97
337,2613 35044,54
337,2643 36046,79
337,2673 37210,82
337,2703 38229,34
337,2733 39278,39
337,2763 40263,14
337,2793 41168,33
337,2823 42090,65
337,2853 42911,86
337,2883 43695,91
337,2913 44628,98
337,2943 45505,37
337,2973 46257,43
337,3003 47219,77
337,3033 47906,23
337,3063 48569,54
337,3093 49376,95
337,3123 49980,95
337,3153 50761,62
337,3183 51438,1
337,3213 51963,62
337,3243 52592,5
337,3273 53169,86
337,3303 53814,74
337,3333 54342,85
337,3363 54895,46
337,3393 55394,01
337,3423 55862,57
337,3453 56388,05
337,3484 56741,66
337,3513 57184,24
337,3543 57581,53
337,3574 57927,05
337,3604 58241,01
337,3634 58589,42
337,3664 58820,58
337,3694 58985,81
337,3724 59170,88
337,3754 59218,96
337,3784 59156,81
337,3814 59140,19
337,3844 58984,78
337,3874 58782,91
337,3904 58607,7
337,3934 58224,96
337,3964 57834,5
337,3994 57441,54
337,4024 56909,48
337,4054 56331,97
337,4084 55767,79
337,4114 55021,97
337,4144 54388,48
337,4174 53730,24
337,4204 53063,45
337,4234 52390,15
337,4264 51584,14
337,4294 50849,18
337,4324 49931,9
337,4354 49167,23
337,4384 48238,1
337,4414 47170,87
337,4445 46192
337,4474 45138,83
337,4504 43864,7
337,4535 42711,88
337,4565 41807,72
337,4595 40699,87
337,4625 39658,81
337,4655 38556,24
337,4685 37390
337,4715 36370,13
337,4745 35185,94
337,4775 33756,57
337,4805 32760,97
337,4835 31487,77
337,4865 30315,95
337,4895 29008,55
337,4925 27560,18
337,4955 26249,33
337,4985 25004,62
337,5015 23690,39
337,5045 22470,45
337,5075 21275,22
337,5105 20002,91
337,5135 18874,59
337,5165 17529,27
337,5195 16418,03
337,5225 15339,72
337,5255 14058,71
337,5285 12782,49
337,5315 11783,51
337,5345 10624,38
337,5375 8997,497
337,5405 7818,586
337,5435 6615,458
337,5465 5012,799
337,5496 3693,397
337,5526 2362,557
337,5555 914,2241
337,5586 -678,21
337,5616 -2027,409
337,5646 -3669,945
337,5676 -5246,623
337,5706 -6897,679
337,5736 -8462,221
337,5766 -9970,575
337,5796 -11723,38
337,5826 -12861,93
337,5856 -14401,73
337,5886 -15715,82
337,5916 -16980,44
337,5946 -17932,46
337,5976 -19334,28
337,6006 -20307,29
337,6036 -21262,74
337,6066 -22443,72
337,6096 -23634,36
337,6126 -24967,81
337,6156 -26022,65
337,6186 -27534,96
337,6216 -28968,49
337,6246 -30318,12
337,6276 -31761,06
337,6306 -33204,67
337,6336 -34658,49
337,6366 -35939,13
337,6396 -37322,59
337,6426 -38858,98
337,6457 -40211,33
337,6487 -41441,54
337,6516 -42850,98
337,6547 -44198,29
337,6577 -45170,88
337,6607 -46306,68
337,6637 -47328,43
337,6667 -48530,64
337,6697 -49397,09
337,6727 -50311,46
337,6757 -51218,5
337,6787 -51978,03
337,6817 -52896,84
337,6847 -53705,23
337,6877 -54535,02
337,6907 -55164,17
337,6937 -55708,31
337,6967 -56315,96
337,6997 -56986,78
337,7027 -57310,53
337,7057 -57651,6
337,7087 -57940,37
337,7117 -58102,38
337,7147 -58249,06
337,7177 -58362,85
337,7207 -58348,57
337,7237 -58280,47
337,7267 -58165,53
337,7297 -58028,16
337,7327 -57781,82
337,7357 -57547,46
337,7387 -57338,62
337,7417 -56999,06
337,7448 -56623,2
337,7477 -56345,04
337,7508 -55942,07
337,7538 -55591,97
337,7567 -55242,9
337,7598 -54664,68
337,7628 -54282,51
337,7658 -53856,66
337,7688 -53394,64
337,7718 -52930,91
337,7748 -52495,25
337,7778 -51998,37
337,7808 -51447,45
337,7838 -50944,12
337,7868 -50376,23
337,7898 -49723,19
337,7928 -49245,71
337,7958 -48621,88
337,7988 -47826,58
337,8018 -47101,29
337,8048 -46474,88
337,8078 -45800,28
337,8108 -45049,43
337,8138 -44414,66
337,8168 -43571,01
337,8198 -42806,68
337,8228 -42093,47
337,8258 -41296,64
337,8288 -40365,91
337,8318 -39605,75
337,8348 -38712,79
337,8378 -37971,25
337,8409 -37134,38
337,8438 -36383,46
337,8468 -35481,39
337,8499 -34716,28
