332	-1,7444286
332,012	-7,7960226
332,024	-15,04884918
332,036	-7,565343
332,048	-12,40988204
332,0601	-5,4805156
332,0721	-12,0962134
332,0841	-10,980944
332,0961	-16,46864
332,1081	-8,8168502
332,1201	-7,8459546
332,1321	-10,9278192
332,1441	-3,4710346
332,1562	-13,823138
332,1682	-12,547058
332,1802	-11,6609962
332,1922	-7,999993624
332,2042	0,76730376
332,2162	-8,5479134
332,2282	-11,8118222
332,2402	-0,17999576
332,2523	-11,5608068
332,2643	-1,6740942
332,2763	-5,4056418
332,2883	-5,8229446
332,3003	-2,0038938
332,3123	-21,4355684
332,3243	-7,5503207
332,3363	-9,1282122
332,3484	-15,4511132
332,3604	-2,1974186
332,3724	-17,023478
332,3844	-6,07432302
332,3964	-2,96908284
332,4084	-2,294392
332,4204	-10,8661006
332,4324	-12,8334302
332,4445	-7,84368422
332,4565	-11,62058046
332,4685	-16,1834308
332,4805	4,5065556
332,4925	-11,5342688
332,5045	-4,43348954
332,5165	-5,7104018
332,5285	-17,67539094
332,5405	-4,469697
332,5526	-0,97436418
332,5646	-9,24468018
332,5766	-23,7779412
332,5886	-1,5614304
332,6006	4,86604
332,6126	-8,9406724
332,6246	0,1384666
332,6366	-10,9756778
332,6487	0,98841048
332,6607	0,3665184
332,6727	-4,8205928
332,6847	-9,1112042
332,6967	-24,2136086
332,7087	-6,3707822
332,7207	-11,6370812
332,7327	-14,253841
332,7448	-5,3662
332,7567	1,1959414
332,7688	-0,8919417
332,7808	-5,6625308
332,7928	-12,1141746
332,8048	3,5298106
332,8168	-1,2794966
332,8288	-4,2422048
332,8409	5,48934144
332,8528	-12,23002934
332,8649	-13,6898466
332,8769	-2,9904962
332,8889	-14,0958478
332,9009	-9,57675
332,9129	-9,6953956
332,9249	-7,9722092
332,937	-29,961692
332,9489	-4,3504768
332,961	3,0556294
332,973	0,4424932
332,985	-0,9446137
332,997	-5,9042706
333,009	-9,4448626
333,021	-7,7580366
333,033	-8,8352626
333,045	3,1707126
333,0571	-6,2083322
333,0691	-11,36248002
333,0811	-9,5075844
333,0931	-7,5456824
333,1051	-6,5947866
333,1171	2,1189218
333,1291	-4,3765824
333,1411	-3,6400742
333,1532	-9,28993
333,1652	-11,13497218
333,1772	-5,2350309
333,1892	-2,972462
333,2012	-4,4145148
333,2132	-15,5571972
333,2252	-6,5565656
333,2372	4,272378266
333,2492	-11,8114366
333,2613	-1,94969454
333,2733	2,2649056
333,2853	-7,5432938
333,2973	-9,60454166
333,3093	-23,1674784
333,3213	-11,0879904
333,3333	-14,6401616
333,3453	-10,7722298
333,3574	-15,2208408
333,3694	-12,6555416
333,3814	3,331699
333,3934	-7,4621326
333,4054	-14,8860224
333,4174	-1,9661554
333,4294	0,70527806
333,4414	5,1283502
333,4535	-1,7838158
333,4655	0,15566998
333,4775	-7,5495346
333,4895	-10,075409
333,5015	-0,22255098
333,5135	-6,57009392
333,5255	-15,4514128
333,5375	-5,2556288
333,5496	0,49897872
333,5616	-10,5345108
333,5736	-3,0206236
333,5856	-15,528568
333,5976	-16,1963501
333,6096	-9,904441
333,6216	-5,7511296
333,6336	-10,4406004
333,6457	-11,8235656
333,6577	-10,9682064
333,6697	-11,848752
333,6817	-4,2525068
333,6937	-19,2275424
333,7057	-2,62391572
333,7177	-5,7574086
333,7297	-13,03239592
333,7417	-8,2535214
333,7538	-12,3337252
333,7658	-16,20879
333,7778	-11,06971551
333,7898	-4,73261406
333,8018	-0,59384766
333,8138	-13,11457254
333,8258	-10,95773344
333,8378	-0,60332868
333,8499	-5,1655538
333,8618	-12,6225472
333,8739	-21,8159428
333,8859	-2,137111
333,8979	-11,0232126
333,9099	-2,9316196
333,9219	-3,5640046
333,9339	-8,5859728
333,946	-4,39175706
333,9579	2,088132
333,97	-10,4984702
333,982	1,36472682
333,994	-7,1106724
334,006	-2,1879216
334,018	-7,1922546
334,03	-12,035184
334,0421	-19,5053492
334,054	-3,0025038
334,0661	-10,672562
334,0781	-6,429559
334,0901	-7,7857932
334,1021	-11,609108
334,1141	-10,50486261
334,1261	-20,01572
334,1382	-9,4695292
334,1501	-11,2878318
334,1622	-14,253798
334,1742	-0,073242146
334,1862	0,5145098
334,1982	1,667132
334,2102	-4,9507046
334,2222	-4,5210114
334,2342	-4,01311404
334,2462	-9,307797
334,2583	-1,2620942
334,2703	-1,8943442
334,2823	-2,8673304
334,2943	5,0631416
334,3063	-16,4163614
334,3183	-6,3226268
334,3303	-14,7289906
334,3423	-2,829891
334,3543	-9,4981984
334,3664	-9,05257914
334,3784	-4,79126192
334,3904	-11,96166818
334,4024	-18,1396656
334,4144	-4,1130384
334,4264	-4,6237014
334,4384	-11,2689178
334,4504	-6,0300484
334,4625	-8,2348731
334,4745	-6,7459594
334,4865	-5,8255022
334,4985	-4,6949798
334,5105	4,5667002
334,5225	-3,2250696
334,5345	-14,4857626
334,5465	-12,4362714
334,5586	-5,9487322
334,5706	-6,24230416
334,5826	-2,2274108
334,5946	1,0295286
334,6066	-2,6877132
334,6186	-13,442182
334,6306	-5,6187504
334,6426	-5,919201
334,6547	-13,6050726
334,6667	-15,7611828
334,6787	-16,3719544
334,6907	-3,7856206
334,7027	-5,6374028
334,7147	-5,959614
334,7267	-11,18866118
334,7387	-13,2402476
334,7508	-11,5457658
334,7628	-13,028468
334,7748	-12,6184526
334,7868	-13,661088
334,7988	-6,3408162
334,8108	-13,9655043
334,8228	-6,16866556
334,8348	-8,7507162
334,8468	-6,004942
334,8589	-12,379104
334,8709	-2,5125702
334,8829	-0,99417428
334,8949	-12,3060796
334,9069	-8,6554932
334,9189	-14,645822
334,9309	-2,3134186
334,9429	-6,8511382
334,955	2,7969356
334,967	-7,1352062
334,979	0,15680444
334,991	-12,12182
335,003	-5,4843878
335,015	-6,14450472
335,027	-15,488543
335,039	-6,8415698
335,0511	-11,9718276
335,063	-7,510229
335,0751	-18,7078408
335,0871	0,35431378
335,0991	-9,025266
335,1111	3,2088944
335,1231	-5,8784174
335,1351	-10,4533292
335,1472	-1,83329366
335,1591	1,2083932
335,1712	-16,270631
335,1832	-7,43750348
335,1952	-8,2035178
335,2072	-13,1764484
335,2192	-6,92191708
335,2312	-13,6370002
335,2433	-0,65209242
335,2552	1,3821366
335,2673	-8,95765874
335,2793	5,5715148
335,2913	-9,3398774
335,3033	0,59976426
335,3153	-16,2734088
335,3273	7,0876438
335,3393	-3,25043692
335,3513	-8,681859
335,3634	-13,0435414
335,3754	-4,5956436
335,3874	6,0676498
335,3994	-6,7279134
335,4114	-6,0016914
335,4234	-18,858844
335,4354	-4,6269646
335,4474	-4,5343
335,4595	-10,9390286
335,4715	-7,4977136
335,4835	2,1797498
335,4955	-16,5988076
335,5075	-2,30363686
335,5195	-16,3074484
335,5315	-9,1380134
335,5435	-11,217168
335,5555	-10,8422306
335,5676	-11,2157726
335,5796	2,61647734
335,5916	-8,805040876
335,6036	-13,8564406
335,6156	-5,079427
335,6276	-5,67195576
335,6396	-4,8224306
335,6516	-4,2869862
335,6637	-4,2557662
335,6757	-0,54725
335,6877	-11,51484116
335,6997	-6,8257496
335,7117	-15,0421018
335,7237	-3,387079
335,7357	-0,001260333
335,7477	-6,54189768
335,7598	-5,2476734
335,7718	-15,0772414
335,7838	-4,824625454
335,7958	-8,8811032
