
336 -18,12877
336,976 2371,416
336,979 2412,549
336,982 2456,279
336,985 2498,773
336,988 2520,896
336,991 2592,586
336,994 2642,15
336,997 2674,279
337 2734,458
337,003 2787,866
337,006 2817,495
337,009 2889,604
337,012 2933,114
337,015 2972,978
337,018 3021,838
337,021 3098,201
337,024 3138,322
337,027 3225,218
337,03 3256,493
337,033 3355,596
337,036 3392,762
337,039 3472,203
337,0421 3546,467
337,045 3611,713
337,048 3665,476
337,0511 3754,303
337,054 3826,256
337,0571 3896,437
337,0601 3966,412
337,063 4055,815
337,0661 4122,541
337,0691 4238,188
337,0721 4322,815
337,0751 4419,976
337,0781 4492,969
337,0811 4574,393
337,0841 4649,211
337,0871 4775,607
337,0901 4867,014
337,0931 4974,907
337,0961 5115,88
337,0991 5208,368
337,1021 5339,661
337,1051 5441,827
337,1081 5572,479
337,1111 5704,146
337,1141 5816,865
337,1171 5964,911
337,1201 6072,74
337,1231 6221,143
337,1261 6374,978
337,1291 6511,345
337,1321 6656,743
337,1351 6839,887
337,1382 6979,105
337,1411 7171,178
337,1441 7368,149
337,1472 7513,39
337,1501 7725,988
337,1532 7877,209
337,1562 8076,272
337,1591 8289,328
337,1622 8471,148
337,1652 8714,311
337,1682 8928,074
337,1712 9198,429
337,1742 9428,807
337,1772 9694,464
337,1802 9937,385
337,1832 10215,22
337,1862 10488,91
337,1892 10769,89
337,1922 11100,79
337,1952 11499,95
337,1982 11776,95
337,2012 12152,93
337,2042 12455,93
337,2072 12780,2
337,2102 13117,98
337,2132 13512,49
337,2162 13970,67
337,2192 14345,79
337,2222 14829,73
337,2252 15282,74
337,2282 15737,53
337,2312 16243,42
337,2342 16764,94
337,2372 17321,38
337,2402 17901,07
337,2433 18494,03
337,2462 18945,84
337,2492 19517,22
337,2523 20180,13
337,2552 20812,8
337,2583 21457,67
337,2613 22177,85
337,2643 22846,41
337,2673 23673,54
337,2703 24499,74
337,2733 25387,87
337,2763 26161,43
337,2793 27021,89
337,2823 27865,45
337,2853 28736,2
337,2883 29647,41
337,2913 30644,16
337,2943 31859,91
337,2973 32924,16
337,3003 34025,67
337,3033 35048,32
337,3063 36180,41
337,3093 37350,01
337,3123 38371,86
337,3153 39395,34
337,3183 40550,83
337,3213 41572,11
337,3243 42500,38
337,3273 43498,75
337,3303 44506,81
337,3333 45420,25
337,3363 46361,27
337,3393 47280,07
337,3423 48062,09
337,3453 48936,8
337,3484 49581,18
337,3513 50343,74
337,3543 51042,94
337,3574 51774,52
337,3604 52528,06
337,3634 53051,74
337,3664 53596,17
337,3694 54208,73
337,3724 54823,34
337,3754 55316,95
337,3784 55761,23
337,3814 56264,08
337,3844 56697,89
337,3874 57021,96
337,3904 57461,74
337,3934 57837,42
337,3964 58060,66
337,3994 58269,91
337,4024 58454,21
337,4054 58505,91
337,4084 58521,75
337,4114 58485,06
337,4144 58304,59
337,4174 58022,22
337,4204 57724,63
337,4234 57366,98
337,4264 56843,37
337,4294 56349,01
337,4324 55655,5
337,4354 54932,37
337,4384 54320,61
337,4414 53757,52
337,4445 52816,35
337,4474 52001,01
337,4504 51178,52
337,4535 50085,57
337,4565 49250,98
337,4595 48251,25
337,4625 47090,18
337,4655 46160,61
337,4685 44911,32
337,4715 43592,86
337,4745 42376,25
337,4775 40993,23
337,4805 39768,13
337,4835 38712,07
