
336 -4,122379
336,964 635,0413
336,967 648,0139
336,97 652,8344
336,973 666,0409
336,976 665,0092
336,979 658,6992
336,982 675,3528
336,985 692,8644
336,988 723,7399
336,991 734,3265
336,994 742,0607
336,997 742,1774
337 743,6583
337,003 760,4617
337,006 786,4073
337,009 793,5414
337,012 821,2014
337,015 824,6119
337,018 847,4477
337,021 843,3342
337,024 867,8246
337,027 897,2881
337,03 910,5109
337,033 913,3649
337,036 923,03
337,039 930,4064
337,0421 933,3575
337,045 967,9733
337,048 1007,421
337,0511 1002,722
337,054 1022,364
337,0571 1047,327
337,0601 1053,828
337,063 1090,823
337,0661 1102,283
337,0691 1132,553
337,0721 1141,277
337,0751 1152,443
337,0781 1173
337,0811 1219,365
337,0841 1227,571
337,0871 1261,634
337,0901 1296,939
337,0931 1296,201
337,0961 1350,014
337,0991 1354,537
337,1021 1394,489
337,1051 1413,228
337,1081 1438,198
337,1111 1465,826
337,1141 1509,465
337,1171 1507,901
337,1201 1536,191
337,1231 1586,507
337,1261 1605,87
337,1291 1624,373
337,1321 1676,977
337,1351 1714,635
337,1382 1728,14
337,1411 1752,931
337,1441 1811,928
337,1472 1828,393
337,1501 1886,156
337,1532 1920,177
337,1562 1964,455
337,1591 2006,34
337,1622 2043,119
337,1652 2093,452
337,1682 2133,04
337,1712 2174,876
337,1742 2228,849
337,1772 2275,568
337,1802 2351,547
337,1832 2397,155
337,1862 2447,955
337,1892 2511,791
337,1922 2582,009
337,1952 2623,504
337,1982 2692,938
337,2012 2758,19
337,2042 2821,845
337,2072 2910,23
337,2102 2969,323
337,2132 3007,34
337,2162 3105,629
337,2192 3191,189
337,2222 3270,571
337,2252 3328,479
337,2282 3436,832
337,2312 3517,263
337,2342 3616,156
337,2372 3750,225
337,2402 3833,568
337,2433 3947,865
337,2462 4026,964
337,2492 4156,149
337,2523 4235,285
337,2552 4337,69
337,2583 4462,15
337,2613 4587,149
337,2643 4758,935
337,2673 4876,038
337,2703 5023,763
337,2733 5172,62
337,2763 5337,939
337,2793 5468,804
337,2823 5628,117
337,2853 5756,981
337,2883 5963,217
337,2913 6157,147
337,2943 6345,213
337,2973 6512,141
337,3003 6750,915
337,3033 6949,222
337,3063 7210,923
337,3093 7438,535
337,3123 7681,197
337,3153 7923,055
337,3183 8183,513
337,3213 8463,277
337,3243 8762,672
337,3273 9062,672
337,3303 9358,632
337,3333 9763,932
337,3363 10064,64
337,3393 10319,35
337,3423 10627,81
337,3453 10969,75
337,3484 11381,73
337,3513 11792,05
337,3543 12222,35
337,3574 12702,12
337,3604 13149,76
337,3634 13647,79
337,3664 14196,71
337,3694 14646,51
337,3724 15149,4
337,3754 15765,02
337,3784 16370,03
337,3814 16944,12
337,3844 17652,82
337,3874 18307,13
337,3904 18988,43
337,3934 19668,39
337,3964 20386,42
337,3994 21195,13
337,4024 22064,81
337,4054 22763,17
337,4084 23608,97
337,4114 24633,19
337,4144 25285,49
337,4174 26179,97
337,4204 27029,19
337,4234 27967,56
337,4264 28743,54
337,4294 29688,25
337,4324 30586,43
337,4354 31391,5
337,4384 32052,24
337,4414 32829,77
337,4445 33553,71
337,4474 34204,93
337,4504 34864,8
337,4535 35429,05
337,4565 36016,72
337,4595 36395,8
337,4625 36760,79
337,4655 37006,39
337,4685 37205,08
337,4715 37307,9
337,4745 37261,08
337,4775 37219,05
337,4805 37042,54
337,4835 36690,37
337,4865 36331,93
337,4895 35800,9
337,4925 35152,2
337,4955 34488,66
337,4985 33574,64
337,5015 32431,2
337,5045 31226,64
337,5075 30119,78
337,5105 28653,12
337,5135 26969,19
337,5165 25812,49
337,5195 24364,61
337,5225 22851,01
337,5255 21065,18
337,5285 19182,29
337,5315 17122,38
337,5345 15012,74
337,5375 12689,1
337,5405 10478,39
337,5435 8087,164
337,5465 6329,155
337,5496 4255,184
337,5526 1817,873
337,5555 -110,0238
337,5586 -2422,304
337,5616 -4425,534
337,5646 -6352,17
337,5676 -7993,552
337,5706 -9796,766
337,5736 -11259,1
337,5766 -12793,87
337,5796 -14287,07
337,5826 -15760,65
337,5856 -17023,15
337,5886 -18177,86
337,5916 -19421,51
337,5946 -20744,19
337,5976 -21701,14
337,6006 -22759,19
337,6036 -23630,99
337,6066 -24289,16
337,6096 -24952,78
337,6126 -25692,76
337,6156 -26171,49
337,6186 -26740,4
337,6216 -27259,08
337,6246 -27630,35
337,6276 -27972,46
337,6306 -28313,85
337,6336 -28557,24
337,6366 -28787,39
337,6396 -29019,08
337,6426 -29107,38
337,6457 -29256,14
337,6487 -29350,32
337,6516 -29374,35
337,6547 -29418,96
337,6577 -29421,45
337,6607 -29299,14
337,6637 -29269,1
337,6667 -29130,12
337,6697 -28976,62
337,6727 -28845,41
337,6757 -28600,08
337,6787 -28320,7
337,6817 -28058,99
337,6847 -27737,05
337,6877 -27373,46
337,6907 -27141,94
337,6937 -26799,66
337,6967 -26418,92
337,6997 -25990,21
337,7027 -25618,16
337,7057 -25087,83
337,7087 -24666,37
337,7117 -24193,31
337,7147 -23745,52
337,7177 -23208,54
337,7207 -22723,83
337,7237 -22233,13
337,7267 -21737,39
337,7297 -21274,07
337,7327 -20579,97
337,7357 -20156,75
337,7387 -19600,6
337,7417 -19089,98
337,7448 -18591,24
337,7477 -18136,93
337,7508 -17686,87
337,7538 -17152,72
337,7567 -16633,49
337,7598 -16114,86
337,7628 -15590,42
337,7658 -15120,84
337,7688 -14646,28
337,7718 -14189,76
337,7748 -13841,07
337,7778 -13464,21
337,7808 -12989
